   157/299      2.3G   0.02618   0.01901         0   0.04519        18       640    0.9086    0.9467    0.9768    0.7314   0.03753   0.05789         0
   158/299      2.3G   0.02656   0.01944         0     0.046        28       640    0.9202    0.9093    0.9699    0.7332   0.03723   0.05889         0
   159/299      2.3G   0.02671   0.01978         0   0.04649        33       640    0.9268    0.9184    0.9757    0.7362   0.03708   0.05897         0
   160/299      2.3G    0.0265   0.01939         0   0.04588        26       640    0.9244     0.932    0.9779    0.7331   0.03724   0.05895         0
   161/299      2.3G   0.02579   0.01865         0   0.04444        31       640    0.9197    0.9286    0.9759     0.736   0.03742   0.05821         0
   162/299      2.3G   0.02589    0.0196         0   0.04549        17       640    0.9307    0.9138    0.9733    0.7284   0.03782   0.05841         0
   163/299      2.3G     0.026   0.01873         0   0.04474        39       640    0.9296    0.9286    0.9774    0.7355   0.03723   0.05862         0
   164/299      2.3G   0.02617   0.02007         0   0.04624        25       640    0.9254    0.9419    0.9769    0.7318   0.03665   0.05847         0
   165/299      2.3G   0.02638    0.0202         0   0.04658        18       640    0.9288    0.9501    0.9786    0.7355   0.03642   0.05969         0
   166/299      2.3G    0.0261   0.01907         0   0.04517         7       640     0.923    0.9546    0.9816    0.7474   0.03634   0.05947         0
   167/299      2.3G   0.02599   0.01872         0   0.04471        27       640     0.939     0.942    0.9805    0.7423   0.03624   0.05979         0
   168/299      2.3G   0.02561   0.01834         0   0.04396        18       640    0.9318    0.9331    0.9798    0.7354   0.03604    0.0596         0
   169/299      2.3G   0.02653   0.01895         0   0.04548        14       640    0.9496    0.9178    0.9792    0.7393   0.03608    0.0598         0
   170/299      2.3G    0.0264   0.01874         0   0.04514        20       640    0.9112    0.9558    0.9792    0.7381    0.0363   0.05944         0
   171/299      2.3G   0.02564    0.0194         0   0.04504        24       640    0.9483    0.9399     0.983    0.7447   0.03627   0.05886         0
   172/299      2.3G   0.02583   0.01963         0   0.04546        44       640    0.9534    0.9274    0.9816    0.7384   0.03674   0.05874         0
   173/299      2.3G   0.02546   0.01934         0    0.0448        38       640    0.9492    0.9331    0.9824    0.7494   0.03612   0.05847         0
   174/299      2.3G   0.02562   0.01861         0   0.04423        34       640     0.943    0.9388    0.9834    0.7444   0.03579   0.05902         0
   175/299      2.3G   0.02557   0.01888         0   0.04445        31       640    0.9465    0.9422    0.9844    0.7432    0.0358    0.0594         0
   176/299      2.3G   0.02563   0.01948         0    0.0451        22       640    0.9499    0.9297    0.9819    0.7462   0.03631   0.05915         0
   177/299      2.3G   0.02523   0.01883         0   0.04406        41       640    0.9383    0.9477    0.9836    0.7512   0.03607   0.05933         0
   178/299      2.3G   0.02561   0.01829         0    0.0439        16       640     0.943    0.9195    0.9801    0.7483   0.03584    0.0594         0
   179/299      2.3G   0.02541    0.0188         0    0.0442        24       640    0.9435    0.9297    0.9819    0.7423   0.03648   0.05873         0
   180/299      2.3G   0.02529   0.01918         0   0.04447        45       640    0.9494     0.941    0.9824    0.7444   0.03616   0.05914         0
   181/299      2.3G   0.02549   0.01844         0   0.04393        14       640     0.942    0.9422    0.9826    0.7457   0.03603   0.05902         0
   182/299      2.3G   0.02565   0.01869         0   0.04434        16       640    0.9479    0.9282    0.9795    0.7414    0.0361   0.05925         0
   183/299      2.3G   0.02497   0.01902         0   0.04399        18       640     0.934    0.9512    0.9822    0.7506   0.03607   0.05876         0
   184/299      2.3G   0.02539   0.01866         0   0.04406        17       640    0.9276    0.9443    0.9823    0.7536   0.03562   0.06048         0
   185/299      2.3G   0.02526   0.01866         0   0.04392        17       640    0.9497     0.941    0.9834    0.7567   0.03572   0.05908         0
   186/299      2.3G   0.02513   0.01862         0   0.04375        15       640    0.9567     0.926    0.9829    0.7513   0.03534   0.05906         0
   187/299      2.3G   0.02508   0.01794         0   0.04302        30       640    0.9541    0.9181    0.9804    0.7488   0.03532   0.05925         0
   188/299      2.3G    0.0256   0.01991         0   0.04552        24       640    0.9434    0.9478    0.9841    0.7507   0.03537   0.05869         0
   189/299      2.3G   0.02539    0.0191         0   0.04449        26       640    0.9431    0.9444    0.9846    0.7557   0.03546   0.05896         0
   190/299      2.3G   0.02523   0.01835         0   0.04358        26       640    0.9418     0.941    0.9835    0.7489   0.03627   0.05909         0
   191/299      2.3G   0.02559   0.01969         0   0.04529        38       640     0.944    0.9558    0.9863    0.7556   0.03572   0.05879         0
   192/299      2.3G   0.02577   0.01961         0   0.04539        21       640    0.9472    0.9567    0.9849    0.7549    0.0355   0.05918         0
   193/299      2.3G   0.02524   0.01917         0   0.04441        32       640     0.952    0.9478    0.9859    0.7552   0.03557   0.05849         0
   194/299      2.3G   0.02524   0.01902         0   0.04425        15       640    0.9562     0.941    0.9848    0.7556   0.03525   0.05888         0
   195/299      2.3G   0.02487   0.01875         0   0.04362        35       640    0.9459    0.9546    0.9844    0.7565   0.03522   0.05817         0
   196/299      2.3G   0.02509   0.01889         0   0.04398        13       640    0.9574     0.949    0.9865    0.7588   0.03558    0.0583         0
   197/299      2.3G   0.02526   0.01827         0   0.04353        22       640    0.9464    0.9649    0.9874    0.7579   0.03555   0.05877         0
   198/299      2.3G   0.02531   0.01863         0   0.04395        13       640    0.9549    0.9456    0.9871    0.7593   0.03603    0.0587         0
   199/299      2.3G   0.02503   0.01853         0   0.04356        12       640    0.9547     0.932    0.9849    0.7597   0.03579   0.05912         0
   200/299      2.3G   0.02508   0.01912         0   0.04421        26       640    0.9669    0.9273    0.9856    0.7579   0.03582   0.05902         0
   201/299      2.3G   0.02497   0.01804         0   0.04301        20       640    0.9451     0.958     0.987    0.7589   0.03546   0.05905         0
   202/299      2.3G   0.02465   0.01873         0   0.04338        18       640    0.9594    0.9388    0.9864    0.7587   0.03517   0.05903         0
   203/299      2.3G   0.02485   0.01805         0    0.0429        18       640    0.9507     0.941    0.9862    0.7651    0.0349    0.0594         0
   204/299      2.3G   0.02513   0.01923         0   0.04437        62       640    0.9495    0.9615    0.9882    0.7639   0.03495   0.05941         0
   205/299      2.3G   0.02442   0.01804         0   0.04246        17       640    0.9495    0.9592     0.989    0.7565     0.035   0.05947         0
   206/299      2.3G   0.02478   0.01878         0   0.04356        33       640    0.9649    0.9433    0.9888    0.7636   0.03526   0.05922         0
   207/299      2.3G   0.02457   0.01815         0   0.04272        21       640    0.9475    0.9626    0.9887    0.7676   0.03514   0.05896         0
   208/299      2.3G   0.02468   0.01776         0   0.04244        26       640    0.9571     0.949    0.9884    0.7607   0.03531   0.05862         0
   209/299      2.3G   0.02453   0.01891         0   0.04345        20       640    0.9508    0.9648    0.9898    0.7642   0.03547   0.05857         0
   210/299      2.3G   0.02454    0.0185         0   0.04303        41       640    0.9641    0.9501    0.9893    0.7602   0.03507   0.05912         0
   211/299      2.3G   0.02409   0.01703         0   0.04113        12       640    0.9671    0.9341    0.9878    0.7652   0.03532   0.05893         0
   212/299      2.3G   0.02435   0.01863         0   0.04299        16       640    0.9588    0.9558    0.9894    0.7647   0.03485   0.05925         0
   213/299      2.3G   0.02491   0.01736         0   0.04226        31       640    0.9426    0.9751    0.9899    0.7699   0.03471   0.05885         0
   214/299      2.3G   0.02507   0.01832         0    0.0434        21       640    0.9648    0.9329    0.9874    0.7683   0.03506   0.05903         0
   215/299      2.3G   0.02391     0.018         0   0.04191        16       640    0.9481    0.9535    0.9873    0.7676   0.03489   0.05965         0
   216/299      2.3G   0.02449   0.01818         0   0.04267        17       640    0.9536    0.9546    0.9881    0.7659   0.03474    0.0589         0
   217/299      2.3G   0.02474   0.01832         0   0.04306        28       640    0.9694    0.9354    0.9879    0.7656   0.03482   0.05917         0
   218/299      2.3G   0.02455   0.01788         0   0.04243        29       640    0.9644    0.9534    0.9897    0.7644   0.03498   0.05873         0
   219/299      2.3G   0.02448   0.01841         0   0.04288        39       640    0.9494    0.9615    0.9891    0.7657    0.0348   0.05893         0
   220/299      2.3G   0.02434   0.01786         0    0.0422        30       640    0.9367    0.9569     0.987    0.7631    0.0351   0.05909         0
   221/299      2.3G   0.02422   0.01795         0   0.04217        29       640    0.9577    0.9489    0.9884    0.7647   0.03474   0.05866         0
   222/299      2.3G   0.02428   0.01792         0   0.04221        29       640    0.9609    0.9478    0.9884    0.7698   0.03449    0.0588         0
